row,col,value,value_hex
0,0,0.07620241946701771,0x1.38200737ca673p-4
0,1,0.07620241946701771,0x1.38200737ca673p-4
1,0,0.07620241946701771,0x1.38200737ca673p-4
1,1,0.0720742107655548,0x1.273749a1f8173p-4
1,2,0.1901434695209839,0x1.8569f0791ff23p-3
2,1,0.1901434695209839,0x1.8569f0791ff23p-3
2,2,0.1901434695209839,0x1.8569f0791ff23p-3
2,3,0.1901434695209839,0x1.8569f0791ff23p-3
3,2,0.1901434695209839,0x1.8569f0791ff23p-3
3,3,0.04676236508591838,0x1.7f13c99748c23p-5
3,4,0.0754265116853734,0x1.34f26e0f0a680p-4
4,3,0.0754265116853734,0x1.34f26e0f0a680p-4
4,4,0.0754265116853734,0x1.34f26e0f0a680p-4
4,5,0.0754265116853734,0x1.34f26e0f0a680p-4
5,4,0.0754265116853734,0x1.34f26e0f0a680p-4
5,5,0.003645231914456938,0x1.ddc9afb7c569dp-9
5,6,0.10091623100731077,0x1.9d5a567cfddfbp-4
6,5,0.10091623100731077,0x1.9d5a567cfddfbp-4
6,6,0.10091623100731077,0x1.9d5a567cfddfbp-4
6,7,0.10091623100731077,0x1.9d5a567cfddfbp-4
7,6,0.10091623100731077,0x1.9d5a567cfddfbp-4
7,7,0.006830262110764648,0x1.bfa0c8638b27cp-8
7,8,0.07030298835282534,0x1.1ff606bc95508p-4
8,7,0.07030298835282534,0x1.1ff606bc95508p-4
8,8,0.07030298835282534,0x1.1ff606bc95508p-4
8,9,0.07030298835282534,0x1.1ff606bc95508p-4
9,8,0.07030298835282534,0x1.1ff606bc95508p-4
9,9,0.03151394200640143,0x1.022986c92319dp-5
9,10,0.17126990419214894,0x1.5ec2c16a5acb4p-3
10,9,0.17126990419214894,0x1.5ec2c16a5acb4p-3
10,10,0.17126990419214894,0x1.5ec2c16a5acb4p-3
10,11,0.17126990419214894,0x1.5ec2c16a5acb4p-3
11,10,0.17126990419214894,0x1.5ec2c16a5acb4p-3
11,11,0.07390124159433935,0x1.2eb3117c80f3bp-4
11,12,0.08101122229690463,0x1.4bd26c65fcb02p-4
12,11,0.08101122229690463,0x1.4bd26c65fcb02p-4
12,12,0.08101122229690463,0x1.4bd26c65fcb02p-4
