benchmark_id,family,label,mode,signal_length,signal_hash,exact_interval_agreement,float32_stable_interval_agreement,betti0_agreement,betti0_float32_stable_agreement,births_match_local_minima,finite_deaths_match_merge_heights,gudhi__ripser_exact,gudhi__dionysus_exact,ripser__dionysus_exact,gudhi__ripser_float32,gudhi__dionysus_float32,ripser__dionysus_float32,gudhi__ripser_max_abs_diff,gudhi__dionysus_max_abs_diff,ripser__dionysus_max_abs_diff
synthetic_single_basin_3__floating,synthetic,Synthetic single basin (n=3),floating,3,b7065db7d75dbf715c17c18108b47a2690881096ab36d86363059fe74c03db66,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
synthetic_single_basin_3__quantized,synthetic,Synthetic single basin (n=3),quantized,3,b7065db7d75dbf715c17c18108b47a2690881096ab36d86363059fe74c03db66,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
synthetic_double_well_5__floating,synthetic,Synthetic double well (n=5),floating,5,6acd80cf66b09bcb871e77b629d4ab745eff7fc84d6d4827e23303b16c87f661,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
synthetic_double_well_5__quantized,synthetic,Synthetic double well (n=5),quantized,5,6acd80cf66b09bcb871e77b629d4ab745eff7fc84d6d4827e23303b16c87f661,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
synthetic_three_minima_7__floating,synthetic,Synthetic three minima (n=7),floating,7,b64363261d24a99c2de21770936582301b0734dd5baf40b38d56963d1b1b7d75,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
synthetic_three_minima_7__quantized,synthetic,Synthetic three minima (n=7),quantized,7,b64363261d24a99c2de21770936582301b0734dd5baf40b38d56963d1b1b7d75,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
synthetic_staggered_valleys_6__floating,synthetic,Synthetic staggered valleys (n=6),floating,6,46eedd958b658040f749ac8aedaf90f9510d05e1e92e247f6884ec3e7b54cbfa,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
synthetic_staggered_valleys_6__quantized,synthetic,Synthetic staggered valleys (n=6),quantized,6,46eedd958b658040f749ac8aedaf90f9510d05e1e92e247f6884ec3e7b54cbfa,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
aah_n8_l1p50_phi0p10_s0__floating,aah,"AAH profile n=8, lambda=1.50, phase=0.10, state=0",floating,8,006f84e7ef1dea8e35039751fdac5319340069400ef23e04ab72b20524b7b99f,False,True,False,True,True,True,False,False,True,True,True,True,9.075539542102717e-09,9.075539542102717e-09,0.0
aah_n8_l1p50_phi0p10_s0__quantized,aah,"AAH profile n=8, lambda=1.50, phase=0.10, state=0",quantized,8,4cdf771e2abcd285a4bbe5bc8a36e4d4ff75ba8b8382b5a0a6b44198c7555ab7,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
aah_n8_l2p00_phi0p30_s3__floating,aah,"AAH profile n=8, lambda=2.00, phase=0.30, state=3",floating,8,b00f99ddb448b629766610724ec32dfabd44469f3483dff22b25ee1d7b79881a,False,True,False,True,True,True,False,False,True,True,True,True,1.6064659255632385e-09,1.6064659255632385e-09,0.0
aah_n8_l2p00_phi0p30_s3__quantized,aah,"AAH profile n=8, lambda=2.00, phase=0.30, state=3",quantized,8,6a95186f10c9a3bdbf7bef43f1305b6652cc8fb5cb38b5e473a4fc1a24d0d424,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
aah_n13_l1p00_phi0p20_s6__floating,aah,"AAH profile n=13, lambda=1.00, phase=0.20, state=6",floating,13,d19815a5ad02f459ef2111eb2f8683e28d8ac8e82a1fbddd3dcfee0ed503bd8c,False,True,False,True,True,True,False,False,True,True,True,True,4.355252491983208e-09,4.355252491983208e-09,0.0
aah_n13_l1p00_phi0p20_s6__quantized,aah,"AAH profile n=13, lambda=1.00, phase=0.20, state=6",quantized,13,01d5b07e63e871b6036b86fa1f227bbaced9949d75d5cab03deeba9545fe1e72,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0
